Cre04.g214500.t1.1	CHLRE_04g214433v5
Cre09.g396800.t1.1	CHLRE_09g396772v5
Cre01.g038550.t1.1	CHLRE_01g038550v5
Cre07.g355600.t1.1	CHLRE_07g355550v5
Cre12.g537641.t1.1	CHLRE_12g537641v5
Cre14.g624850.t1.1	CHLRE_14g624850v5
Cre06.g293582.t1.1	CHLRE_06g293516v5
Cre06.g262100.t1.1	CHLRE_06g262050v5
Cre03.g154550.t1.1	CHLRE_03g154600v5
Cre16.g676350.t1.1	CHLRE_16g676350v5
Cre03.g208609.t1.1	CHLRE_03g208558v5
Cre02.g092400.t1.1	CHLRE_02g092400v5
Cre17.g732000.t1.1	CHLRE_17g732000v5
Cre16.g655350.t1.1	CHLRE_16g655350v5
Cre06.g278195.t1.1	CHLRE_06g278194v5
Cre06.g275050.t1.1	CHLRE_06g275000v5
Cre05.g244300.t1.1	CHLRE_05g244250v5
Cre03.g144847.t1.1	CHLRE_03g144867v5
Cre02.g147301.t1.1	CHLRE_02g147302v5
Cre04.g214504.t1.1	CHLRE_04g214503v5
Cre02.g103350.t1.1	CHLRE_02g103400v5
Cre17.g727600.t1.1	CHLRE_17g727600v5
Cre11.g477950.t1.1	CHLRE_11g477950v5
Cre09.g386737.t1.1	CHLRE_09g386736v5
Cre06.g276001.t1.1	CHLRE_06g275950v5
Cre10.g430501.t1.1	CHLRE_10g430450v5
Cre16.g680454.t1.1	CHLRE_16g680454v5
Cre11.g467573.t1.1	CHLRE_11g467573v5
Cre16.g675602.t1.1	CHLRE_16g675602v5
Cre16.g650800.t1.1	CHLRE_16g650800v5
Cre13.g575400.t1.1	CHLRE_13g575400v5
Cre02.g095044.t1.1	CHLRE_02g095044v5
Cre09.g402923.t1.1	CHLRE_09g402900v5
Cre16.g649550.t1.1	CHLRE_16g649550v5
Cre06.g249750.t1.1	CHLRE_06g249700v5
Cre09.g394436.t1.1	CHLRE_09g394400v5
Cre03.g177500.t1.1	CHLRE_03g177500v5
Cre09.g393543.t1.1	CHLRE_09g393506v5
Cre13.g586916.t1.1	CHLRE_13g586916v5
Cre07.g348600.t1.1	CHLRE_07g348550v5
Cre12.g555803.t1.1	CHLRE_12g555803v5
Cre13.g576466.t1.1	CHLRE_13g576466v5
Cre04.g214200.t1.1	CHLRE_04g214150v5
Cre12.g535400.t1.1	CHLRE_12g535400v5
Cre14.g629650.t1.1	CHLRE_14g629650v5
Cre16.g655316.t1.1	CHLRE_16g655316v5
Cre08.g383400.t1.1	CHLRE_08g383350v5
Cre12.g509050.t1.1	CHLRE_12g509050v5
Cre06.g275000.t1.1	CHLRE_06g274994v5
Cre05.g230850.t1.1	CHLRE_05g230804v5
Cre06.g305700.t1.1	CHLRE_06g305650v5
Cre03.g170001.t1.1	CHLRE_03g170001v5
Cre16.g651600.t1.1	CHLRE_16g651600v5
Cre09.g402950.t1.1	CHLRE_09g402923v5
Cre11.g479600.t1.1	CHLRE_11g479600v5
Cre17.g719750.t1.1	CHLRE_17g719750v5
Cre03.g157200.t1.1	CHLRE_03g157250v5
Cre14.g621751.t1.1	CHLRE_14g621751v5
Cre03.g190100.t1.1	CHLRE_03g190100v5
Cre05.g241400.t1.1	CHLRE_05g241350v5
Cre17.g739752.t1.1	CHLRE_17g739752v5
Cre02.g119700.t1.1	CHLRE_02g119751v5
Cre16.g678850.t1.1	CHLRE_16g678850v5
Cre03.g189550.t1.1	CHLRE_03g189550v5
Cre12.g519050.t1.1	CHLRE_12g519050v5
Cre03.g157800.t1.1	CHLRE_03g157850v5
Cre06.g278087.t1.1	CHLRE_06g278086v5
Cre03.g145967.t1.1	CHLRE_03g145987v5
Cre14.g627350.t1.1	CHLRE_14g627350v5
Cre07.g334851.t1.1	CHLRE_07g334800v5
Cre09.g394658.t1.1	CHLRE_09g394621v5
Cre16.g675000.t1.1	CHLRE_16g675000v5
Cre10.g428750.t1.1	CHLRE_10g428734v5
Cre05.g238332.t1.1	CHLRE_05g238322v5
Cre13.g590450.t1.1	CHLRE_13g590450v5
Cre03.g161150.t1.1	CHLRE_03g1611502v5
Cre09.g390300.t1.1	CHLRE_09g390282v5
Cre09.g417350.t1.1	CHLRE_09g417250v5
Cre03.g171100.t1.1	CHLRE_03g171100v5
Cre01.g041000.t1.1	CHLRE_01g041000v5
Cre09.g399912.t1.1	CHLRE_09g399911v5
Cre03.g163200.t1.1	CHLRE_03g163200v5
Cre06.g278261.t1.1	CHLRE_06g278260v5
Cre12.g561000.t1.1	CHLRE_12g561000v5
Cre11.g469375.t1.1	CHLRE_11g469375v5
Cre03.g144967.t1.1	CHLRE_03g144987v5
Cre03.g173250.t1.1	CHLRE_03g173250v5
Cre03.g145747.t1.1	CHLRE_03g145767v5
Cre12.g547100.t1.1	CHLRE_12g547100v5
Cre12.g533351.t1.1	CHLRE_12g533351v5
Cre03.g196250.t1.1	CHLRE_03g196250v5
Cre16.g673550.t1.1	CHLRE_16g673550v5
Cre06.g271700.t1.1	CHLRE_06g271650v5
Cre06.g291150.t1.1	CHLRE_06g291100v5
Cre06.g263850.t1.1	CHLRE_06g263841v5
Cre07.g336800.t1.1	CHLRE_07g336750v5
Cre14.g616100.t1.1	CHLRE_14g616100v5
Cre03.g145727.t1.1	CHLRE_03g145747v5
Cre17.g726400.t1.1	CHLRE_17g726400v5
Cre01.g011300.t1.1	CHLRE_01g011300v5
Cre06.g278225.t1.1	CHLRE_06g278224v5
Cre07.g325736.t1.1	CHLRE_07g325735v5
Cre06.g278104.t1.1	CHLRE_06g278103v5
Cre02.g081700.t1.1	CHLRE_02g081700v5
Cre03.g146287.t1.1	CHLRE_03g146307v5
Cre12.g513700.t1.1	CHLRE_12g513700v5
Cre03.g193100.t1.1	CHLRE_03g193100v5
Cre11.g467648.t1.1	CHLRE_11g467648v5
Cre06.g278169.t1.1	CHLRE_06g278168v5
Cre17.g722250.t1.1	CHLRE_17g722250v5
Cre03.g165700.t1.1	CHLRE_03g165700v5
Cre01.g064362.t1.1	CHLRE_01g064362v5
Cre13.g567650.t1.1	CHLRE_13g567650v5
Cre10.g437650.t1.1	CHLRE_10g437601v5
Cre12.g547300.t1.1	CHLRE_12g547300v5
Cre01.g047800.t1.1	CHLRE_01g047800v5
Cre09.g389430.t1.1	CHLRE_09g389400v5
Cre01.g015600.t1.1	CHLRE_01g015600v5
Cre04.g217934.t1.1	CHLRE_04g217933v5
Cre13.g572100.t1.1	CHLRE_13g572100v5
Cre01.g013100.t1.1	CHLRE_01g013100v5
Cre01.g013000.t1.1	CHLRE_01g013000v5
Cre12.g554400.t1.1	CHLRE_12g554400v5
Cre12.g554103.t1.1	CHLRE_12g554103v5
Cre03.g144767.t1.1	CHLRE_03g144787v5
Cre17.g746547.t1.1	CHLRE_17g746547v5
Cre08.g362900.t1.1	CHLRE_08g362850v5
Cre01.g014250.t1.1	CHLRE_01g014250v5
Cre16.g685837.t1.1	CHLRE_16g685837v5
Cre02.g082500.t1.1	CHLRE_02g082500v5
Cre13.g570801.t1.1	CHLRE_13g570801v5
Cre10.g452100.t1.1	CHLRE_10g452076v5
Cre14.g626000.t1.1	CHLRE_14g626000v5
Cre05.g240600.t1.1	CHLRE_05g240550v5
Cre12.g561350.t1.1	CHLRE_12g561350v5
Cre16.g669450.t1.1	CHLRE_16g669450v5
Cre14.g609500.t1.1	CHLRE_14g609500v5
Cre03.g183750.t1.1	CHLRE_03g183750v5
Cre12.g557600.t1.1	CHLRE_12g557600v5
Cre12.g507900.t1.1	CHLRE_12g507900v5
Cre01.g046652.t1.1	CHLRE_01g046652v5
Cre11.g467553.t1.1	CHLRE_11g467553v5
Cre12.g498550.t1.1	CHLRE_12g498550v5
Cre10.g455950.t1.1	CHLRE_10g455900v5
Cre16.g656750.t1.1	CHLRE_16g656750v5
Cre12.g530350.t1.1	CHLRE_12g530350v5
Cre11.g467700.t1.1	CHLRE_11g467700v5
Cre03.g199535.t1.1	CHLRE_03g199500v5
Cre17.g706500.t1.1	CHLRE_17g706500v5
Cre08.g360550.t1.1	CHLRE_08g360500v5
Cre09.g396213.t1.1	CHLRE_09g396200v5
Cre12.g541500.t1.1	CHLRE_12g541500v5
Cre09.g396401.t1.1	CHLRE_09g396400v5
Cre14.g620702.t1.1	CHLRE_14g620702v5
Cre03.g144807.t1.1	CHLRE_03g144827v5
Cre03.g192050.t1.1	CHLRE_03g192050v5
Cre05.g238343.t1.1	CHLRE_05g238332v5
Cre02.g097800.t1.1	CHLRE_02g097800v5
Cre01.g046600.t1.1	CHLRE_01g046600v5
Cre07.g325500.t1.1	CHLRE_07g325450v5
Cre06.g292249.t1.1	CHLRE_06g292216v5
Cre09.g413100.t1.1	CHLRE_09g413075v5
Cre10.g463500.t1.1	CHLRE_10g463500v5
Cre16.g671950.t1.1	CHLRE_16g671950v5
Cre13.g588700.t1.1	CHLRE_13g588700v5
Cre16.g657200.t1.1	CHLRE_16g657200v5
Cre12.g502450.t1.1	CHLRE_12g502450v5
Cre10.g441550.t1.1	CHLRE_10g441500v5
Cre26.g756747.t1.1	CHLRE_26g756747v5
Cre06.g300700.t1.1	CHLRE_06g300650v5
Cre10.g426800.t1.1	CHLRE_10g426750v5
Cre06.g263950.t1.1	CHLRE_06g263900v5
Cre12.g500700.t1.1	CHLRE_12g500700v5
Cre09.g386155.t1.1	CHLRE_09g386149v5
Cre14.g631000.t1.1	CHLRE_14g631000v5
Cre07.g325760.t1.1	CHLRE_07g325759v5
Cre12.g543900.t1.1	CHLRE_12g543900v5
Cre01.g015350.t1.1	CHLRE_01g015350v5
Cre03.g151650.t1.1	CHLRE_03g151700v5
Cre08.g373372.t1.1	CHLRE_08g373371v5
Cre08.g373436.t1.1	CHLRE_08g373428v5
Cre14.g633904.t1.1	CHLRE_14g633904v5
Cre11.g467572.t1.1	CHLRE_11g467572v5
Cre06.g278213.t1.1	CHLRE_06g278212v5
Cre04.g222750.t1.1	CHLRE_04g222700v5
Cre02.g144007.t1.1	CHLRE_02g144008v5
Cre12.g488351.t1.1	CHLRE_12g488351v5
Cre09.g408000.t1.1	CHLRE_09g407950v5
Cre03.g209841.t1.1	CHLRE_03g209729v5
Cre05.g233751.t1.1	CHLRE_05g233750v5
Cre05.g236650.t1.1	CHLRE_05g236626v5
Cre10.g421576.t1.1	CHLRE_10g421550v5
Cre17.g741900.t1.1	CHLRE_17g741900v5
Cre07.g325734.t1.1	CHLRE_07g325733v5
Cre02.g076987.t1.1	CHLRE_02g076987v5
Cre03.g204577.t1.1	CHLRE_03g204500v5
Cre04.g232104.t1.1	CHLRE_04g232006v5
Cre16.g673650.t1.1	CHLRE_16g673650v5
Cre04.g214150.t1.1	CHLRE_04g214100v5
Cre01.g066917.t1.1	CHLRE_01g066917v5
Cre01.g041050.t1.1	CHLRE_01g041050v5
Cre09.g391400.t1.1	CHLRE_09g391393v5
Cre06.g269100.t1.1	CHLRE_06g269050v5
Cre02.g145750.t1.1	CHLRE_02g145800v5
Cre03.g146567.t1.1	CHLRE_03g146587v5
Cre11.g479100.t1.1	CHLRE_11g479100v5
Cre05.g238290.t1.1	CHLRE_05g238280v5
Cre12.g546550.t1.1	CHLRE_12g546550v5
Cre08.g365851.t1.1	CHLRE_08g365825v5
Cre16.g674300.t1.1	CHLRE_16g674300v5
Cre03.g146447.t1.1	CHLRE_03g146467v5
Cre11.g467672.t1.1	CHLRE_11g467672v5
Cre01.g003850.t1.1	CHLRE_01g003850v5
Cre08.g367500.t1.1	CHLRE_08g367400v5
Cre02.g112333.t1.1	CHLRE_02g112366v5
Cre01.g007950.t1.1	CHLRE_01g007950v5
Cre01.g007251.t1.1	CHLRE_01g007251v5
Cre04.g213950.t1.1	CHLRE_04g213905v5
Cre08.g367400.t1.1	CHLRE_08g367350v5
Cre10.g425050.t1.1	CHLRE_10g425000v5
Cre11.g467653.t1.1	CHLRE_11g467653v5
Cre01.g004926.t1.1	CHLRE_01g004926v5
Cre14.g608275.t1.1	CHLRE_14g608275v5
Cre09.g402219.t1.1	CHLRE_09g402212v5
Cre10.g466750.t1.1	CHLRE_10g466750v5
Cre05.g244400.t1.1	CHLRE_05g244350v5
Cre08.g376250.t1.1	CHLRE_08g376200v5
Cre13.g591550.t1.1	CHLRE_13g591550v5
Cre11.g477350.t1.1	CHLRE_11g477350v5
Cre05.g243450.t1.1	CHLRE_05g243358v5
Cre12.g515400.t1.1	CHLRE_12g515400v5
Cre09.g404201.t1.1	CHLRE_09g404200v5
Cre07.g325742.t1.1	CHLRE_07g325741v5
Cre03.g177800.t1.1	CHLRE_03g177800v5
Cre05.g239800.t1.1	CHLRE_05g239750v5
Cre17.g740187.t1.1	CHLRE_17g740187v5
Cre02.g142602.t1.1	CHLRE_02g142604v5
Cre13.g574551.t1.1	CHLRE_13g574551v5
Cre14.g632807.t1.1	CHLRE_14g632807v5
Cre03.g151300.t1.1	CHLRE_03g151351v5
Cre13.g606962.t1.1	CHLRE_13g606962v5
Cre07.g335000.t1.1	CHLRE_07g334950v5
Cre12.g555700.t1.1	CHLRE_12g555700v5
Cre12.g546600.t1.1	CHLRE_12g546600v5
Cre11.g476351.t1.1	CHLRE_11g476351v5
Cre08.g365825.t1.1	CHLRE_08g365800v5
Cre08.g379187.t1.1	CHLRE_08g379175v5
Cre12.g495951.t1.1	CHLRE_12g495951v5
Cre14.g617276.t1.1	CHLRE_14g617276v5
Cre10.g453200.t1.1	CHLRE_10g453100v5
Cre06.g278296.t1.1	CHLRE_06g278295v5
Cre06.g296450.t1.1	CHLRE_06g296400v5
Cre33.g759047.t1.1	CHLRE_33g759047v5
