"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHLRE_09g414100v5",80.6195458941576,10.6757798444152,0.991630065541835,9.75744905347164,1.71412514177013e-22,8.3503606281332e-19
"CHLRE_12g541211v5",47.4165629122342,9.91003834916459,1.11416318628966,7.99706762780092,1.27417263191214e-15,3.10356598817999e-12
"CHLRE_12g507558v5",47.1245095171861,9.90112038062956,1.12852443723598,7.8873971062873,3.08554365282847e-15,6.01249036190156e-12
"CHLRE_01g055457v5",40.0023119722239,9.66472964445846,1.17682839587231,7.36278090743712,1.80117865118258e-13,2.45404826989957e-10
"CHLRE_12g550800v5",38.8937424792138,9.6241808962097,1.18839671575538,7.25698816049649,3.95804334383518e-13,4.28480181099846e-10
"CHLRE_15g638954v5",34.3185830535315,9.44363355861897,1.24050202675966,6.80662616946687,9.99141082397118e-12,8.11219297149594e-09
"CHLRE_15g641527v5",27.0061752951905,9.09792954756069,1.37385111294543,5.89432833824281,3.76208460474238e-09,1.40976885784635e-06
"CHLRE_06g297200v5",21.029295264656,8.73702651935624,1.58199759295624,4.890668957908,1.00493854774003e-06,0.000119403856958916
"CHLRE_13g585026v5",16.7556218625604,8.40927111218132,1.71488984421293,4.32055221341747,1.5563922249107e-05,0.00120348646407182
"CHLRE_03g144364v5",16.5473853766825,8.39123174105914,1.73322414933213,4.26444077871131,2.00403486655553e-05,0.00144631938554448
"CHLRE_12g544327v5",11.881175516098,7.91329268516633,2.00801746627877,3.44284489615419,0.000575629349722673,0.0264545129922076
"CHLRE_05g234660v5",1520.29148509557,2.62983000401313,0.377695118923442,4.31520007104855,1.5945841804379e-05,0.00122330973779578
"CHLRE_07g342550v5",35.2460512188134,2.61805624319864,0.459518235868117,3.52120137330747,0.000429596240874235,0.0205174322295964
"CHLRE_03g210401v5",118.179289046031,2.57345259000826,0.344516551163028,4.56713207158424,4.94442500830915e-06,0.000450219933233234
"CHLRE_06g302900v5",516.114598732547,2.17954895269281,0.323087554989739,3.65086470981611,0.000261358892493495,0.0134731200506038
"CHLRE_05g239400v5",651.54298735476,2.14071108442125,0.346352370742088,3.29349870473583,0.000989487975391582,0.041199065573676
"CHLRE_16g657200v5",2159.04089176603,2.12080413393587,0.344898639525602,3.24966238045329,0.00115542092927752,0.0472994374535752
"CHLRE_04g226550v5",738.71604319389,2.10134983750811,0.267747314201355,4.11339266200765,3.89886369762291e-05,0.00258412442217279
"CHLRE_02g076987v5",323.091706013676,2.07976963139202,0.293601888435226,3.67766582547115,0.000235378052334976,0.0123961533183766
"CHLRE_03g197150v5",117.784777754975,1.97790108225161,0.297939425553902,3.28221443145226,0.00102995249693459,0.0425204541425155
"CHLRE_07g336850v5",1022.45072967504,1.9238711502549,0.144907334275109,6.37559965392035,1.82248436790072e-10,9.86470288692042e-08
"CHLRE_19g751047v5",276.835503271664,1.78718240061935,0.237120492354372,3.31975694214955,0.000900958526565029,0.038688578962002
"CHLRE_09g394176v5",37384.4029451316,1.69246893417361,0.150660847942259,4.59621025390089,4.3024456034774e-06,0.000403064687641157
"CHLRE_09g413141v5",654.509524366684,1.67047906823367,0.185158906440624,3.62110082157286,0.000293352159104847,0.0148089641769872
"CHLRE_06g278245v5",310.973344966366,1.59461054197413,0.16486048580152,3.60674990785844,0.000310056235063567,0.0154402748944584
"CHLRE_09g396475v5",347.236321301966,1.51731266980781,0.115586713223021,4.47553750239152,7.62193181103965e-06,0.000656834219497088
"CHLRE_06g258733v5",34563.8428907529,1.44464912600636,0.117575107656925,3.78183048153196,0.000155679367017909,0.00856940154155645
"CHLRE_17g705500v5",3675.56654637036,1.2414494485619,0.0495345472026962,4.87436470497813,1.09159165219321e-06,0.00012366717985254
